Threshold,3PL_Cost,Truck_Cost,Expected_Shipments_per_Day,Holding_Cost_Rate_per_ft3
0,864.37,373.58,1.0,0.08495
50,864.37,373.58,1.0,0.08495
100,863.19,366.3,0.9722,0.08495
150,860.83,359.02,0.9444,0.08495
200,857.29,351.75,0.9167,0.08495
250,852.57,344.47,0.8889,0.08495
300,846.67,337.19,0.8611,0.08495
350,839.59,329.91,0.8333,0.08495
400,831.33,322.63,0.8056,0.08495
450,821.9,315.36,0.7778,0.08495
500,811.28,308.08,0.75,0.08495
550,799.48,300.8,0.7222,0.08495
600,786.5,293.52,0.6944,0.08495
650,772.34,286.25,0.6667,0.08495
700,757.0,278.97,0.6389,0.08495
750,740.48,271.69,0.6111,0.08495
800,722.79,264.41,0.5833,0.08495
850,703.91,257.13,0.5556,0.08495
900,683.85,249.86,0.5278,0.08495
950,662.61,242.58,0.5,0.08495
1000,640.2,233.47,0.4722,0.08495
1050,616.6,224.36,0.4444,0.08495
1100,591.82,215.25,0.4167,0.08495
1150,565.86,206.13,0.3889,0.08495
1200,538.73,197.02,0.3611,0.08495
1250,510.41,187.91,0.3333,0.08495
1300,480.91,178.8,0.3056,0.08495
1350,450.24,169.69,0.2778,0.08495
1400,418.38,160.58,0.25,0.08495
1450,385.34,151.47,0.2222,0.08495
1500,351.13,142.36,0.1944,0.08495
1550,315.73,133.25,0.1667,0.08495
1600,279.16,124.13,0.1389,0.08495
1650,241.4,115.02,0.1111,0.08495
1700,202.47,105.91,0.0833,0.08495
1750,162.35,96.8,0.0556,0.08495
1800,121.05,87.69,0.0278,0.08495
